Folder,PSNR,SSIM,LPIPS,FID,KID_mean,KID_std,NIQE
FHDMi_Large_exp1_epoch50_step_20,23.767374114990233,0.817307296693325,0.1258579102344811,20.869686126708984,0.002042124280706048,0.0034250745084136724,5.88857573813831
FHDMi_Large_exp1_epoch90_step_20,23.583403596878053,0.814250006377697,0.12260611638426781,19.06793212890625,0.0013166379649192095,0.0030050852801650763,6.03923628836304
FHDMi_Large_exp2_epoch50_step_1,23.786055402755736,0.820262154340744,0.14812946343794464,23.58489418029785,0.002138013718649745,0.0033938053529709578,6.229289595145474
FHDMi_Large_exp2_epoch50_step_10,24.090830669403076,0.8283445212244988,0.1163567247428,16.709476470947266,0.0009758042870089412,0.003020617412403226,5.877523618239016
FHDMi_Large_exp2_epoch50_step_15,24.081099262237547,0.8271000075340271,0.11521765556186438,16.874113082885742,1.2252330634510145e-05,0.002760599134489894,5.8276068214007255
FHDMi_Large_exp2_epoch50_step_20,24.072019634246825,0.8260013964772225,0.11467427771538496,17.033161163330078,0.000648419838398695,0.002928555477410555,5.784779592942881
FHDMi_Large_exp2_epoch50_step_25,24.06627911567688,0.8253608253598214,0.11452675493434071,17.150156021118164,0.001428203540854156,0.003740776563063264,5.76061322861629
FHDMi_Large_exp2_epoch50_step_3,24.074860744476318,0.8299102172255516,0.12378620572388171,17.205236434936523,0.0011268233647570014,0.003136793617159128,5.976682974742342
FHDMi_Large_exp2_epoch50_step_5,24.094113779067992,0.8297856396436691,0.12016024788841605,16.833654403686523,0.0007100105285644531,0.0028365468606352806,5.941001007822619
FHDMi_Large_exp2_epoch50_step_50,24.049062786102294,0.823396415412426,0.1145693339034915,17.52505111694336,0.001213879557326436,0.0032542317640036345,5.696699114716151
FHDMi_Large_exp2_epoch50_step_7,24.096434297561647,0.8291949754953385,0.11820320224389434,16.728364944458008,0.0007155489875003695,0.003180420957505703,5.910930924328541
FHDMi_Large_exp2_epoch90_step_1,23.600290718078615,0.8166654884815217,0.15756274279206992,26.75104522705078,0.002595622558146715,0.0033168683294206858,6.527578605365555
FHDMi_Large_exp2_epoch90_step_10,24.159703102111816,0.8309582602977753,0.11409208254888653,15.451371192932129,0.0002971768262796104,0.0034834754187613726,6.054179205372269
FHDMi_Large_exp2_epoch90_step_15,24.12703592300415,0.8291432777047157,0.11155727371573448,15.407990455627441,0.0006559204775840044,0.0029907594434916973,5.97673466828864
FHDMi_Large_exp2_epoch90_step_20,24.112608747482298,0.8282707810401917,0.11070363815873861,15.421929359436035,0.0006612801225855947,0.003175668651238084,5.947050581153315
FHDMi_Large_exp2_epoch90_step_25,24.082896013259887,0.8271145069599152,0.11035582605749368,15.586437225341797,0.0006696534110233188,0.0034038361627608538,5.912068263678935
FHDMi_Large_exp2_epoch90_step_3,24.096531410217285,0.8310420817136764,0.1278006714209914,17.364891052246094,0.0002068805624730885,0.0028549139387905598,6.239635678371624
FHDMi_Large_exp2_epoch90_step_5,24.150039901733397,0.8319864293932915,0.12105098266154528,16.211458206176758,0.0005480599356815219,0.0034340277779847383,6.172721124135411
FHDMi_Large_exp2_epoch90_step_50,24.036451501846315,0.8249718585610389,0.11024763584136962,15.862732887268066,0.00038815735024400055,0.003017356153577566,5.856455851933069
FHDMi_Large_exp2_epoch90_step_7,24.165203628540038,0.831820310652256,0.11712776867672801,15.728363037109375,0.00028105973615311086,0.002899862127378583,6.115349060894149
FHDMi_Large_exp3_epoch50_step_20,15.706531772613525,0.6245695577561855,0.4074333257973194,46.354766845703125,0.013139314018189907,0.004613709170371294,3.447536260489678
FHDMi_Large_exp3_epoch90_step_20,16.88273407936096,0.603050724118948,0.40176513209939,53.1289176940918,0.015949983149766922,0.004894503857940435,3.3144475901684127
FHDMi_Large_exp4_epoch50_step_20,21.612328882217408,0.789734500348568,0.17857664216309785,33.371463775634766,0.005771915894001722,0.004159517586231232,5.159716817059468
FHDMi_Large_exp4_epoch90_step_20,21.816022996902465,0.7836865371465683,0.17041621398180723,27.479257583618164,0.004011929035186768,0.0037810280919075012,5.370964310384353
FHDMi_Large_exp5_epoch50_step_20,18.304663438796997,0.6935631652176381,0.2861141745001078,37.54416275024414,0.008162388578057289,0.003820848185569048,4.266247090934695
FHDMi_Large_exp5_epoch90_step_20,19.93253665924072,0.7041908550262451,0.2572879690304399,32.63801574707031,0.006191358435899019,0.003506926354020834,4.491043798838309
Large_output,24.425515489578245,0.8424845170974732,0.1297538283839822,20.31443977355957,0.003013028996065259,0.003360204631462693,6.853843578425529
source,17.739281435012817,0.7251379200816155,0.27489167407155035,44.6487922668457,0.01025930605828762,0.0034132495056837797,5.08097347695629
