Folder,PSNR,SSIM,LPIPS,FID,KID_mean,KID_std,NIQE
DIV2K_bicubic_Base_exp1_epoch1000_step_20,27.87897201538086,0.7915562036633491,0.11774499616585672,11.250225067138672,0.0006924414192326367,0.0027478307019919157,3.3298029349096545
DIV2K_bicubic_Base_exp1_epoch600_step_20,27.84886396408081,0.7908859437704087,0.11573899324052035,11.270977020263672,0.0007812356925569475,0.003808697685599327,3.3085564451201743
DIV2K_bicubic_Base_exp2_epoch1000_step_1,28.940097312927247,0.8264512652158738,0.21735085766762496,29.37006187438965,0.006199950817972422,0.004148140549659729,4.627622616622859
DIV2K_bicubic_Base_exp2_epoch1000_step_10,28.416599521636964,0.8078124558925629,0.14564610520377755,14.526718139648438,0.0017404531827196479,0.002912969095632434,3.7942880858424863
DIV2K_bicubic_Base_exp2_epoch1000_step_15,28.240654582977296,0.8015895015001298,0.1279451700951904,12.261534690856934,0.0006629418930970132,0.0027040920685976744,3.5544656022918097
DIV2K_bicubic_Base_exp2_epoch1000_step_20,28.111670303344727,0.7969750037789345,0.11813662135973572,11.188481330871582,0.0003576969902496785,0.0029606104362756014,3.3979798542407287
DIV2K_bicubic_Base_exp2_epoch1000_step_25,28.03017822265625,0.7939321294426918,0.11291384493000806,10.658324241638184,2.0501613107626326e-05,0.0026616184040904045,3.3052337650026
DIV2K_bicubic_Base_exp2_epoch1000_step_3,28.81666151046753,0.8211517280340195,0.19519101331941782,23.782663345336914,0.003954004961997271,0.002860482782125473,4.3460985412183115
DIV2K_bicubic_Base_exp2_epoch1000_step_5,28.691771507263184,0.8169260317087174,0.17858596878126265,20.058256149291992,0.003298628143966198,0.0030110557563602924,4.165453977440653
DIV2K_bicubic_Base_exp2_epoch1000_step_50,27.82550106048584,0.7861826556921006,0.10395596915856004,9.83951473236084,0.000517992943059653,0.003043863922357559,3.116474391308819
DIV2K_bicubic_Base_exp2_epoch1000_step_7,28.566770172119142,0.8128855204582215,0.16337537788785994,17.256458282470703,0.0021398996468633413,0.0033691166900098324,3.999892334141719
DIV2K_bicubic_Base_exp2_epoch600_step_1,28.94869167327881,0.8264483433961868,0.21804269149899483,28.511850357055664,0.005498290061950684,0.004335100296884775,4.6403534069090355
DIV2K_bicubic_Base_exp2_epoch600_step_10,28.308325214385988,0.8053544989228248,0.14110132887028157,13.953916549682617,0.000962889171205461,0.0029023585375398397,3.698118143654491
DIV2K_bicubic_Base_exp2_epoch600_step_15,28.06417854309082,0.7971937355399131,0.12164625158533454,11.586255073547363,-0.0002788019191939384,0.002282763598486781,3.4014827409046235
DIV2K_bicubic_Base_exp2_epoch600_step_20,27.9038516998291,0.7916427084803581,0.11272462701424957,10.656027793884277,0.0007758545689284801,0.003229632740840316,3.2332624760770106
DIV2K_bicubic_Base_exp2_epoch600_step_25,27.79212739944458,0.7876271465420723,0.1079716004151851,10.222025871276855,0.00020439385843928903,0.002575298072770238,3.1368400876080003
DIV2K_bicubic_Base_exp2_epoch600_step_3,28.80268196105957,0.820857971906662,0.19306978883221745,22.978078842163086,0.00320977671071887,0.003057394875213504,4.3136108897634955
DIV2K_bicubic_Base_exp2_epoch600_step_5,28.6436812210083,0.815915533900261,0.17482490538619458,19.319995880126953,0.002090875990688801,0.002941223792731762,4.108919834889215
DIV2K_bicubic_Base_exp2_epoch600_step_50,27.521807346343994,0.777734725177288,0.10154937666840852,9.73448657989502,-0.00018930673832073808,0.0023855078034102917,2.968618545183826
DIV2K_bicubic_Base_exp2_epoch600_step_7,28.48262004852295,0.810952696800232,0.15780364057049157,16.372119903564453,0.0013836788712069392,0.002640360500663519,3.9081381618208133
DIV2K_bicubic_Base_exp3_epoch1000_step_20,26.103629779815673,0.7319536945223808,0.128204566501081,12.709420204162598,-0.00018321276002097875,0.0034859345760196447,2.8927431508515524
DIV2K_bicubic_Base_exp3_epoch600_step_20,25.674675083160402,0.7217372053861618,0.13917262660339474,14.080575942993164,0.0012929391814395785,0.0032013957388699055,2.821162534148405
DIV2K_bicubic_Base_exp4_epoch1000_step_20,27.099449939727783,0.7655264899134636,0.17521523497998714,19.821613311767578,0.0016039609909057617,0.0026648123748600483,4.10580276223904
DIV2K_bicubic_Base_exp4_epoch600_step_20,27.166228160858154,0.7651219746470451,0.18215041959658265,19.59217071533203,0.002040898660197854,0.003751426702365279,4.303744862250407
DIV2K_bicubic_Base_exp5_epoch1000_step_20,26.229573402404785,0.7361419260501861,0.11524721931666136,10.509381294250488,0.000389020424336195,0.002794380998238921,2.8568036636856577
DIV2K_bicubic_Base_exp5_epoch600_step_20,26.22524301528931,0.7320560759305954,0.119464644882828,10.762843132019043,-0.0001506709959357977,0.0027083188761025667,2.879924631346162
DIV2K_valid_LR_bicubic,26.82641107559204,0.7566590172052383,0.41504518404603,42.03896713256836,0.015279826708137989,0.0033988968934863806,7.63365580956769
DIV2K_valid_bicubic_MambaIRv2_Base_output,29.760578079223635,0.8371448057889939,0.2460317686200142,30.910802841186523,0.007964586839079857,0.004513059742748737,5.391835581530119
DIV2K_valid_bicubic_MambaIRv2_Large_output,29.995691299438477,0.8409428423643113,0.24035132351331412,31.22728729248047,0.006811397150158882,0.0038062350358814,5.3406096243229655
