Folder,PSNR,SSIM,LPIPS,FID,KID_mean,KID_std,NIQE
DIV2K_bicubic_Large_exp1_epoch1000_step_20,27.9193076133728,0.7930995371937751,0.11320942837744952,11.081814765930176,0.0003775405930355191,0.0024114816915243864,3.323981541728079
DIV2K_bicubic_Large_exp1_epoch850_step_20,27.926423683166504,0.7930227488279342,0.11661822563037276,11.335222244262695,0.0006515001878142357,0.00271750520914793,3.227936791832886
DIV2K_bicubic_Large_exp2_epoch1000_step_1,28.952283573150634,0.8282563972473145,0.2122573360335082,29.471960067749023,0.0053287697955966,0.003936040680855513,4.571856063316326
DIV2K_bicubic_Large_exp2_epoch1000_step_10,28.322399768829346,0.8063850635290146,0.13505220353603364,13.600531578063965,0.0005700159235857427,0.002567042363807559,3.6659263182614423
DIV2K_bicubic_Large_exp2_epoch1000_step_15,28.105421924591063,0.7988214361667633,0.11802921868860722,11.302319526672363,0.00019779682043008506,0.0023033719044178724,3.4268518634375775
DIV2K_bicubic_Large_exp2_epoch1000_step_20,27.960941944122315,0.7936335504055023,0.10973015605472028,10.313910484313965,0.00022222995175980031,0.0027771731838583946,3.2824531820542564
DIV2K_bicubic_Large_exp2_epoch1000_step_25,27.859642791748048,0.7899507942795754,0.10540835470892489,9.850863456726074,0.0002985572791658342,0.002814791863784194,3.1941273954855
DIV2K_bicubic_Large_exp2_epoch1000_step_3,28.83093318939209,0.822694416642189,0.18866376059129833,23.656145095825195,0.003081750823184848,0.0029640826396644115,4.256752289051154
DIV2K_bicubic_Large_exp2_epoch1000_step_5,28.668790893554686,0.8175599288940429,0.1702428001537919,19.566312789916992,0.0025949738919734955,0.0036099650897085667,4.055421967846549
DIV2K_bicubic_Large_exp2_epoch1000_step_50,27.629513111114502,0.7812421742081642,0.09917354693636299,9.2846040725708,0.00024278640921693295,0.002985552651807666,3.034909300675433
DIV2K_bicubic_Large_exp2_epoch1000_step_7,28.508094959259033,0.8124793511629105,0.15307651817798615,16.407054901123047,0.0017987489700317383,0.0037227701395750046,3.8736728414282746
DIV2K_bicubic_Large_exp2_epoch850_step_1,28.88651964187622,0.8277765208482742,0.21348092411644756,30.49849510192871,0.0062078023329377174,0.004681610036641359,4.564820454586748
DIV2K_bicubic_Large_exp2_epoch850_step_10,28.293578624725342,0.8066201600432396,0.13922022960148753,14.442441940307617,0.0012048244243487716,0.0026273499242961407,3.6459426028657167
DIV2K_bicubic_Large_exp2_epoch850_step_15,28.07146692276001,0.7989527860283852,0.12083861320279539,11.892324447631836,0.000648367393296212,0.002506718970835209,3.3775998589947362
DIV2K_bicubic_Large_exp2_epoch850_step_20,27.919557914733886,0.7936360189318656,0.11196812092326582,10.856112480163574,0.00039114951505325735,0.002693218644708395,3.228672166465586
DIV2K_bicubic_Large_exp2_epoch850_step_25,27.809747676849366,0.7895950642228127,0.10678474457934499,10.305419921875,0.0006977415177971125,0.0031974974554032087,3.1298296853223797
DIV2K_bicubic_Large_exp2_epoch850_step_3,28.792337398529053,0.8225125086307525,0.19088633405044675,24.616182327270508,0.0039237067103385925,0.0039411806501448154,4.27854591442802
DIV2K_bicubic_Large_exp2_epoch850_step_5,28.642519855499266,0.8177043408155441,0.1739781900681555,20.689746856689453,0.002540356945246458,0.003598180366680026,4.0781180995972885
DIV2K_bicubic_Large_exp2_epoch850_step_50,27.56912925720215,0.7805354142189026,0.10043979693204165,9.696667671203613,0.00031947612296789885,0.0037016812711954117,2.96944037951275
DIV2K_bicubic_Large_exp2_epoch850_step_7,28.480369453430175,0.8127411699295044,0.15767844985239207,17.461946487426758,0.0020911407191306353,0.002888086950406432,3.874795305796314
DIV2K_bicubic_Large_exp3_epoch1000_step_20,25.817828712463378,0.7254914981126785,0.1295160730369389,12.381672859191895,0.0003401303256396204,0.0031585695687681437,2.7943206858800638
DIV2K_bicubic_Large_exp3_epoch850_step_20,25.875051002502442,0.7242644581198693,0.13149687316268682,12.519414901733398,0.0009373569046147168,0.0036116333212703466,2.84031538356413
DIV2K_bicubic_Large_exp4_epoch1000_step_20,27.315554237365724,0.7736795893311501,0.21232277799397706,20.458477020263672,0.002089159330353141,0.0029313876293599606,4.674484185984692
DIV2K_bicubic_Large_exp4_epoch850_step_20,27.2590118598938,0.7702834385633469,0.18489467700943352,19.62518882751465,0.001591455889865756,0.0029178690165281296,4.213653343016583
DIV2K_bicubic_Large_exp5_epoch1000_step_20,26.4182155418396,0.742178061902523,0.1112147122528404,10.071306228637695,-0.0003274393093306571,0.002845427952706814,2.8312495500420103
DIV2K_bicubic_Large_exp5_epoch850_step_20,26.342430782318115,0.7391773992776871,0.1129252287466079,10.595112800598145,0.00051541329594329,0.003398392116650939,2.8087126325986014
DIV2K_valid_LR_bicubic,26.82641107559204,0.7566590172052383,0.41504518404603,42.03896713256836,0.015279826708137989,0.0033988968934863806,7.63365580956769
DIV2K_valid_bicubic_MambaIRv2_Base_output,29.760578079223635,0.8371448057889939,0.2460317686200142,30.910802841186523,0.007964586839079857,0.004513059742748737,5.391835581530119
DIV2K_valid_bicubic_MambaIRv2_Large_output,29.995691299438477,0.8409428423643113,0.24035132351331412,31.22728729248047,0.006811397150158882,0.0038062350358814,5.3406096243229655
